Species,HBL(mm),HFL(mm),WT(g),Mean_Temp(C),Max_Temp(C),Min_temp(C),Lat.mid,Habitat,Loc_niche,References
Pseudomys_higginsi,130,32,70,10.3,18.4,1.1,-42.02,Forest,Terrestrial,"Alhajeri et al, 2020"
Pseudomys_johnsoni,66,16,13,26.2,38.4,11.9,-18.06,Savanna,Terrestrial,"Alhajeri et al, 2020"
Pseudomys_nanus,115,25,38,26.8,37.9,13.8,-16.38,Savanna,Terrestrial,"Alhajeri et al, 2020"
Pseudomys_novaehollandiae,78,21,20,15.7,25.8,4.2,-32.47,Forest,Terrestrial,"Alhajeri et al, 2020"
Pseudomys_occidentalis,99,26,42,16.1,27.5,3.3,-33.37,Shrubland,Terrestrial,"Alhajeri et al, 2020"
Pseudomys_oralis,145,31,88,15.9,26.5,3.8,-29.69,Forest,Terrestrial,"Alhajeri et al, 2020"
Pseudomys_patrius,67,18,14,21.9,33.5,8.7,-22.36,Savanna,Terrestrial,"Alhajeri et al, 2020"
Pseudomys_pilligaensis,76,18,12,17.6,31.4,2.3,-30.75,Forest,Terrestrial,"Alhajeri et al, 2020"
Pseudomys_shortridgei,108,26,72,15.2,25.8,3.2,-34.63,Shrubland,Terrestrial,"Alhajeri et al, 2020"
Rattus_baluensis,169,30,110,20.2,26.6,13.7,6.07,Forest,Terrestrial,"Alhajeri et al, 2020"
Rattus_blangorum,144,32,82,19.4,25.2,14.2,3.94,Forest,Terrestrial,"Alhajeri et al, 2020"
Rattus_colletti,160,30,138,27.2,35,18.1,-12.77,Grassland,Terrestrial,"Alhajeri et al, 2020"
Rattus_everetti,222,46,355,25.7,31.6,19.6,11.95,Forest,Terrestrial,"Alhajeri et al, 2020"
Rattus_feliceus,215,46,308,25.5,30.3,20.2,-3.2,Forest,Terrestrial,"Alhajeri et al, 2020"
Rattus_fuscipes,182,34,101,15.9,26.2,4.2,-32.34,Forest,Terrestrial,"Alhajeri et al, 2020"
Rattus_hainaldi,133,30,81,20.3,25.5,14.6,-8.64,Forest,Terrestrial,"Alhajeri et al, 2020"
Rattus_leucopus,158,35,94,26,32.1,19.2,-8.23,Forest,Terrestrial,"Alhajeri et al, 2020"
Rattus_lutreolus,145,28,78,14.6,24,4,-35.06,Forest,Terrestrial,"Alhajeri et al, 2020"
Rattus_nikenii,172,38,134,27,31,22.7,0.46,Forest,Terrestrial,"Alhajeri et al, 2020"
Rattus_norvegicus,191,39,147,7.4,23.9,-10.5,43.01,Artificial Terrestrial,Terrestrial,"Alhajeri et al, 2020"
Rattus_rattus,162,34,120,18.8,31,5.2,20.97,Forest,Terrestrial,"Alhajeri et al, 2020"
Rattus_sordidus,169,31,165,25.1,33.4,15.9,-14.66,Forest,Terrestrial,"Alhajeri et al, 2020"
Rattus_timorensis,157,30,112,19.9,26.2,12.9,-9.56,Forest,Terrestrial,"Alhajeri et al, 2020"
Rattus_tunneyi,136,29,84,24.5,34.6,12.7,-18.48,Savanna,Terrestrial,"Alhajeri et al, 2020"
Rattus_vandeuseni,125,31,60,18.4,24.1,12.2,-9.82,Forest,Terrestrial,"Alhajeri et al, 2020"
Rattus_villosissimus,151,33,144,24.2,37.8,8.6,-22.16,Grassland,Terrestrial,"Alhajeri et al, 2020"
Rhabdomys_dilectus,111,21,39,18.5,29.2,6.2,-18.25,Savanna,,"Alhajeri et al, 2020"
Rhabdomys_intermedius,111,25,44,16,30.4,-0.1,-31.39,Grassland,,"Alhajeri et al, 2020"
